-389710051,6/25/13,955,8.5,10.2,,,,,,,,,,,19,2,0.689,6,3,1,1,11,34.9411,2188,hillslope,0.33,7.76,82,7.7,,0,15,0.92,0.344,0.405,0.036,0.282,0,1.274,0.023,4.13,0.1,,0.41,,1.79,,0.881
-364882626,9/13/11,1185,2952,,,,,,,,,,,,2952,1,0,4,8,0,1,13,36.2966,1519,rheocrene,,,,,,0,171,0.05,0.092,0.894,0,0.01,0,0.363,0,,,,153.5,118.38,,,0.685
-361906736,10/24/10,615,80,57,,,,,,,,,,,137,2,0.679,21,7,1,0,29,36.3993,1777,hillslope,,7.13,485,17.8,260,0.94,167,0.07,0.633,0.259,0.018,0,0.058,0.875,0,11.06,9.44,0.01,35.66,29.7,,0.8,1.281
-352031786,9/9/11,1193,10.3,14,,,,,,,,,,,24,2,0.682,10,6,0,1,17,36.4081,2205,hillslope,,,,,,0,57,0.68,0.039,0.451,0,0.079,0,0.982,0.112,0.23,0.52,,0.08,0.11,,,1.137
-349252102,9/8/11,1173,168.5,,,,,,,,,,,,169,1,0,9,8,3,1,21,36.2817,2594,hillslope,,7.62,640,10.4,,0,60,0.67,0.57,0.21,0.09,0.05,0.07,1.399,0.1,93.01,1.85,,0.19,1.01,,,0.167
-336077967,6/29/10,534,1080,280,,,,,,,,,,,1360,2,0.508,21,6,1,1,29,33.9296,2865,hillslope,,7.53,910,11.08,,0,165,0.08,0.661,0.155,0.013,0.037,0.065,1.032,0.034,413.36,84.79,0.28,312.08,1.99,,,0.965
-335974316,8/17/10,593,30,100,,,,,,,,,,,130,2,0.54,18,0,0,0,18,34.5058,2086,rheocrene,1.39,9.03,289,10.14,,0.99,344,0.91,0.772,0,0,0,0.112,0.604,0.065,51.56,33.4,,14.46,1,,,1.033
-316049355,10/21/10,612,13.5,64.5,,,,,,,,,,,78,2,0.461,12,6,0,0,18,36.1246,1847,rheocrene,,7.74,136,16.6,,0,182,0.01,0.055,0.154,0,0,0,0.578,0,0.7,0.68,0.01,0.06,1.49,,1.36,1.399
-309126305,8/21/09,412,0.5,210,350,310,160,,,,,,,,1031,5,1.345,39,4,3,3,49,34.4481,2296,hillslope,0.48,7.03,230,9.8,123,0.95,314,0.74,0.676,0.051,0.089,0.11,0,1.059,0.068,119.04,61.49,1.26,386.81,116.33,10.5,,1.217
-278143856,7/30/11,1183,1746,1074,,,,,,,,,,,2820,2,0.664,27,9,3,2,41,36.3721,2288,hillslope,,7.24,580,9.6,360,0.99,354,0.97,0.642,0.226,0.171,0.089,0,1.129,0,1006.93,11.01,,669.07,116.84,5.24,1.25,0.924
-277571624,9/12/09,475,24,4,25,0.1,,,,,,,,,53,4,0.92,18,0,0,0,18,34.4669,2249,hillslope,,7.38,330,10.5,173,0.94,294,0.63,0.455,0,0,0,0,0,0,16.14,1.98,0.25,3.07,0.49,,,0.854
-269631197,9/21/10,793,4.7,59.2,672,48,890,1376,,,,,,,3050,6,1.204,45,2,0,0,47,35.1804,2233,helocrene,0.02,,,,,1,329,0.83,0.617,0.003,0,0,0.061,0.669,0.101,674,460.15,,611.67,49.31,26.7,40.32,1.319
-229153472,8/3/11,1199,366,88,,,,,,,,,,,454,2,0.492,17,10,2,0,29,36.166,1912,hillslope,,7.29,834,11.2,430,0,77,0.57,0.821,0.235,0.032,0,0.002,0.658,0,176.57,59.94,0.37,31.04,104.74,0.04,,1.219
-209005459,7/25/11,1188,535,280,160,,,,,,,,,,975,3,0.984,25,8,1,0,34,36.2969,3040,rheocrene,,8.06,345,7.4,150,0,43,0.76,0.407,0.189,0.023,0,0.041,1.098,0.036,209.1,164.49,0.03,4.48,17.6,,,0.892
